time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-11-09T19:52:39.138Z,37.2401,-115.4936,0,1.6,ml,15,148.53,0.389,0.1597,nn,nn00612005,2017-11-09T21:31:41.124Z,"32km WSW of Alamo, Nevada",earthquake,,0,0.3,8,reviewed,nn,nn
2017-11-09T19:51:48.616Z,61.5497,-146.1187,27.1,1.6,ml,,,,0.69,ak,ak17174346,2017-11-09T20:01:00.325Z,"48km NNE of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-11-09T19:41:01.642Z,57.7424,-153.2378,2.2,2.1,ml,,,,0.31,ak,ak17174342,2017-11-09T19:45:11.455Z,"38km W of Kodiak Station, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-11-09T19:39:51.610Z,35.0496667,-118.3188333,-0.82,1.43,ml,17,79,0.06181,0.19,ci,ci37807703,2017-11-09T22:59:55.076Z,"13km W of Mojave, CA",quarry blast,0.41,31.61,0.154,22,reviewed,ci,ci
2017-11-09T19:38:44.180Z,37.5838333,-118.8566667,-0.28,0.82,md,8,202,0.02275,0.04,nc,nc72921796,2017-11-09T22:03:04.598Z,"12km SE of Mammoth Lakes, California",earthquake,0.58,1.02,0.206,7,reviewed,nc,nc
2017-11-09T19:38:39.943Z,60.1605,-140.9533,12.2,1.3,ml,,,,0.64,ak,ak17174338,2017-11-09T19:43:30.312Z,"82km E of Cape Yakataga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-11-09T19:30:29.266Z,61.454,-150.7989,57.2,1.4,ml,,,,0.55,ak,ak17174336,2017-11-09T19:34:34.208Z,"45km W of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-11-09T19:13:16.540Z,47.785,-122.1148333,4.53,0.87,ml,5,115,0.234,0.16,uw,uw61326847,2017-11-09T19:51:16.440Z,"2km S of Maltby, Washington",earthquake,0.49,13.01,0.044,3,reviewed,uw,uw
2017-11-09T19:13:01.850Z,36.8875008,-121.6056671,1.96,1.83,md,13,70,0.0114,0.06,nc,nc72921786,2017-11-09T19:36:02.784Z,"3km E of Aromas, California",earthquake,0.24,0.44,0.34,13,automatic,nc,nc
2017-11-09T19:00:06.230Z,37.5985,-118.8163333,3.79,0.86,md,14,159,0.01321,0.05,nc,nc72921781,2017-11-09T21:44:03.320Z,"14km ESE of Mammoth Lakes, California",earthquake,0.38,0.33,0.119,12,reviewed,nc,nc
2017-11-09T18:45:44.920Z,32.4901,141.5594,10,5.3,mww,,84,1.596,1.61,us,us2000bl0z,2017-11-09T21:24:09.040Z,"177km ESE of Hachijo-jima, Japan",earthquake,4.1,1.8,0.073,18,reviewed,us,us
2017-11-09T18:42:38.670Z,37.1558,-116.3271,6.1,0.1,ml,10,89.18,0.055,0.1388,nn,nn00611996,2017-11-09T19:03:23.330Z,"47km NE of Beatty, Nevada",earthquake,,2,0.48,6,reviewed,nn,nn
2017-11-09T18:39:27.920Z,19.5403333,-155.72,11.567,2.49,ml,44,77,,0.16,hv,hv61971871,2017-11-09T20:52:34.880Z,"17km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.49,0.38,0.229,15,reviewed,hv,hv
2017-11-09T18:34:59.420Z,36.5309982,-121.0933304,33.08,1.61,md,8,101,0.06419,0.37,nc,nc72921771,2017-11-09T21:43:02.320Z,"23km ENE of Soledad, California",earthquake,3.17,6.19,0.06,7,automatic,nc,nc
2017-11-09T18:34:27.708Z,37.1564,-116.3269,6.4,0.5,ml,11,59.71,0.055,0.1331,nn,nn00611994,2017-11-09T18:50:56.224Z,"47km NE of Beatty, Nevada",earthquake,,1.7,0.45,6,reviewed,nn,nn
2017-11-09T18:25:10.720Z,33.4896667,-116.7915,4.67,0.22,ml,18,118,0.02382,0.12,ci,ci38039984,2017-11-09T23:00:02.366Z,"9km NE of Aguanga, CA",earthquake,0.24,0.36,0.056,3,reviewed,ci,ci
2017-11-09T18:12:55.960Z,38.8393326,-122.7803345,-0.11,1,md,14,83,0.004484,0.1,nc,nc72921766,2017-11-09T18:27:04.538Z,"5km WNW of Cobb, California",earthquake,0.3,0.47,0.02,4,automatic,nc,nc
2017-11-09T17:38:46.430Z,33.5053333,-116.5148333,14.32,0.52,ml,33,68,0.05375,0.14,ci,ci38039976,2017-11-09T23:02:55.865Z,"16km ESE of Anza, CA",earthquake,0.22,0.33,0.096,14,reviewed,ci,ci
2017-11-09T17:24:58.496Z,57.5383,-152.9431,43.1,4.1,ml,,,,0.43,ak,ak17173892,2017-11-09T18:54:21.127Z,"32km SW of Kodiak Station, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2017-11-09T17:23:22.980Z,19.3808333,-155.2373333,3.06,0.83,md,26,88,,0.09,hv,hv61971836,2017-11-09T21:02:12.080Z,"5km S of Volcano, Hawaii",earthquake,0.23,0.18,0.179,6,reviewed,hv,hv
2017-11-09T17:06:54.670Z,39.658165,-120.4996643,7.55,2.39,md,18,134,0.1214,0.07,nc,nc72921761,2017-11-09T19:52:02.811Z,"16km S of Portola, California",earthquake,0.48,1.38,0.17,17,automatic,nc,nc
2017-11-09T16:49:45.423Z,60.8448,-152.3791,70.8,2,ml,,,,0.83,ak,ak17173699,2017-11-09T16:53:34.882Z,"44km NNE of Redoubt Volcano, Alaska",earthquake,,1.7,,,automatic,ak,ak
2017-11-09T16:48:58.600Z,58.223,-155.3697,14.3,3.3,ml,,,,1.04,ak,ak17173694,2017-11-09T20:06:02.040Z,"98km ESE of King Salmon, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-11-09T16:46:25.310Z,38.8195,-122.8160019,1.72,1.38,md,16,63,0.006047,0.04,nc,nc72921756,2017-11-09T19:37:02.786Z,"6km NW of The Geysers, California",earthquake,0.26,0.38,0.07,6,automatic,nc,nc
2017-11-09T16:42:43.570Z,37.6049995,-118.8156662,3.1,1.16,md,10,140,0.01837,0.02,nc,nc72921751,2017-11-09T19:08:03.010Z,"14km ESE of Mammoth Lakes, California",earthquake,0.55,0.88,0.19,9,automatic,nc,nc
2017-11-09T16:41:32.110Z,33.3018333,-116.7655,13.47,1.32,ml,47,35,0.06592,0.18,ci,ci38039968,2017-11-09T22:58:48.576Z,"7km N of Lake Henshaw, CA",earthquake,0.21,0.54,0.121,26,reviewed,ci,ci
2017-11-09T16:37:22.660Z,33.6503333,-116.7031667,13.27,0.19,ml,15,129,0.03071,0.07,ci,ci38039960,2017-11-09T22:58:47.023Z,"10km S of Idyllwild, CA",earthquake,0.25,0.47,0.056,4,reviewed,ci,ci
2017-11-09T16:26:53.420Z,47.524,-122.3008333,27.18,1.25,ml,13,148,0.3307,0.19,uw,uw61326837,2017-11-09T17:51:39.600Z,"4km E of White Center, Washington",earthquake,0.86,1.97,0.087,6,reviewed,uw,uw
2017-11-09T16:04:43.720Z,37.532,-118.8173333,-0.54,0.95,md,18,230,0.05868,0.09,nc,nc72921741,2017-11-09T21:34:04.309Z,"18km SE of Mammoth Lakes, California",earthquake,0.46,31.61,0.274,13,reviewed,nc,nc
2017-11-09T15:55:29.970Z,46.8976667,-112.6518333,4.76,0.56,md,9,110,0.058,0.05,mb,mb80268844,2017-11-09T16:54:34.320Z,"6km SSE of Lincoln, Montana",earthquake,0.37,0.78,0.27,4,reviewed,mb,mb
2017-11-09T15:54:34.000Z,36.3647,-98.1612,6.347,2.5,ml,,40,,0.45,us,us2000bkw1,2017-11-09T19:44:42.291Z,"22km SSE of Helena, Oklahoma",earthquake,0.8,4,,,reviewed,tul,tul
